name,grew_1dollar_to,cagr,volatility,sharpe,sortino,max_drawdown,calmar
Buy & Hold 1x,13020.989530849005,0.10138792307696165,0.1892142662267489,0.39525416852051193,0.5600640680808391,-0.8385405625205264,0.1209099805168695
MA200 -> Cash,33089.52776355567,0.11286568418712695,0.12627862735380427,0.5952624110132476,0.8407945836249544,-0.4620936935351404,0.24424848416275552
Lev 1.5x above->cash,140933.69214630337,0.1295604186786663,0.18941187592500228,0.5283316699519657,0.7441736292300098,-0.63045935430711,0.20550162003870387
Lev 2x above->cash,1023603.066643947,0.1528106994783891,0.25255278801718634,0.5325955322510247,0.750330324293426,-0.7506468122833976,0.20357203544707425
Lev 3x above->cash,16337433.079810224,0.18609681688228363,0.3788362370599863,0.536859348338314,0.7564894117493449,-0.8965215992701985,0.20757650126195876
Lev 5x above->cash,29600902.900246937,0.1933628184503089,0.631405084875205,0.5402703676989653,0.7614184045547683,-0.9981774010999457,0.1937158848088846
