name,cagr,volatility,sharpe,sortino,max_drawdown,calmar,total_return,years,strategy
Buy & Hold 1x,0.10138792307696165,0.1892142662267489,0.4345924739640663,0.6169958906538417,-0.8385405625205264,0.1209099805168695,13019.989530849005,98.10714285714286,buy_hold
MA200 -> Cash,0.110077351868898,0.12628606584872298,0.6348952195866684,0.8989600766097967,-0.4641420397568875,0.23716307173242765,25920.63207008074,97.31746031746032,ma_to_cash
Lev 1.5x ABOVE (gross),0.14633812414745528,0.23636170639448523,0.5599637411524384,0.7955807503799776,-0.8559980934081183,0.17095613328391487,591785.2143572044,97.31746031746032,leveraged_above_ma_gross
Lev 1.5x ABOVE (net),0.12159487876517394,0.23635150063698993,0.4676114055416159,0.6620801486255946,-0.8572877594129618,0.14183671402054954,70779.66973834258,97.31746031746032,leveraged_above_ma_net
Lev 2x ABOVE (gross),0.19027442378370862,0.28945091053090966,0.6358236391341813,0.9040925341890294,-0.8873803744009134,0.21442261883712083,23002964.083310854,97.31746031746032,leveraged_above_ma_gross
Lev 2x ABOVE (net),0.1475511290929874,0.2894337765925084,0.5094832708151311,0.720799473151321,-0.8904664810221226,0.16570093567544592,655938.1907783379,97.31746031746032,leveraged_above_ma_net
Lev 3x ABOVE (gross),0.2676011350061893,0.40440358168239765,0.7107063694420973,1.0117163302267405,-0.9528303517636234,0.2808486678776322,10519787697.211958,97.31746031746032,leveraged_above_ma_gross
Lev 3x ABOVE (net),0.18661757244805632,0.4043724766175328,0.5473801975889487,0.773868815175828,-0.9551254944636479,0.19538539545827083,17050452.762524854,97.31746031746032,leveraged_above_ma_net
Lev 4x ABOVE (gross),0.32757391173572703,0.5246046049695043,0.744913080761381,1.061125486374073,-0.986319068158248,0.3321175898458551,945716736667.0118,97.31746031746032,leveraged_above_ma_gross
Lev 4x ABOVE (net),0.2066606424750317,0.524559684496053,0.5628153705364616,0.795478023772864,-0.9881362060317816,0.20914185839313817,87028071.84338778,97.31746031746032,leveraged_above_ma_net
Lev 1.5x BELOW (net),0.08035609459613191,0.24680186962870967,0.3063836668304309,0.4347824007268763,-0.9420518290891867,0.08529901658789134,1846.7704338924177,97.31746031746032,leveraged_below_ma_net
Lev 2x BELOW (net),0.05948370284488136,0.30965534211528106,0.2384180311253795,0.3384374845231985,-0.9810235984072075,0.06063432412987746,275.76531805563627,97.31746031746032,leveraged_below_ma_net
Lev 3x BELOW (net),0.002641154087090314,0.4425155378969682,0.1587491451408267,0.22541277052905082,-0.9986210269788215,0.0026448011965867877,0.29264638220721095,97.31746031746032,leveraged_below_ma_net
Lev 4x BELOW (net),-0.07386046409652602,0.5794229463044149,0.1150623412604131,0.16340169087697584,-0.9999896335424552,-0.07386122977582871,-0.9994284763179122,97.31746031746032,leveraged_below_ma_net
