window,name,grew_1dollar_to,cagr,volatility,sharpe,sortino,max_drawdown,calmar
last 50 years,Buy & Hold 1x,256.6600717847546,0.11739389884308515,0.17412791609968523,0.48914042175691574,0.6852826033063948,-0.5525024106969593,0.2124767178753076
last 50 years,MA200 -> Cash,189.3675490056328,0.11061668121261592,0.11714359318862994,0.6036918987622393,0.8456554492633427,-0.2055051289703137,0.5382672528265466
last 50 years,Lev 1.5x above MA,567.2933706458806,0.1352670118130559,0.21788165403624551,0.5033158629466209,0.7036527875607512,-0.5897171805682611,0.22937607427803003
last 50 years,Lev 2x above MA,1532.8429864735522,0.1580711570160953,0.26737093146132873,0.5297899006131347,0.7404262074628772,-0.6278452970285435,0.2517676850718036
last 50 years,Lev 3x above MA,6622.573996431193,0.1924793688887576,0.37430564965978685,0.549354721316657,0.7675943955636768,-0.7579875556335559,0.25393473475679396
last 50 years,Lev 5x above MA,14643.7559718771,0.211563339239776,0.5997427340353757,0.5562072579300138,0.7771262147889146,-0.9289153981072261,0.22775307597533756
last 30 years,Buy & Hold 1x,19.12847103058855,0.10363290020844129,0.19130101791288465,0.4960131893352677,0.7006733324397787,-0.552502410696959,0.18757004169033878
last 30 years,MA200 -> Cash,14.04675008881887,0.09230475279597017,0.12100083099228116,0.6081111114337713,0.8404124038367905,-0.2055051289703137,0.44916033608730066
last 30 years,Lev 1.5x above MA,31.51723981417565,0.1222014412085286,0.23429183983842544,0.515518880376311,0.7214952160736187,-0.5897171805682604,0.20722041893161983
last 30 years,Lev 2x above MA,58.039603965332276,0.1453312932969959,0.2837451257729252,0.5431403811501402,0.7563785499150011,-0.6278452970285433,0.23147627924397562
last 30 years,Lev 3x above MA,140.55348330353235,0.17968373312240482,0.3920644228056776,0.563114733574117,0.7803197223795219,-0.7579875556335548,0.23705367164269384
last 30 years,Lev 5x above MA,208.83470629014482,0.19539464663672668,0.6228842280312888,0.5684939854963094,0.7852720712133962,-0.9289153981072265,0.21034708546641176
last 15 years,Buy & Hold 1x,7.681568119199542,0.1460465923383476,0.17318073639572107,0.7860818151706519,1.1057359132220388,-0.33790463651871727,0.43221245450491996
last 15 years,MA200 -> Cash,4.682571334724126,0.10873923479896885,0.11750849238920023,0.8076985592609615,1.1060266093636646,-0.17963907086034647,0.6053206258426043
last 15 years,Lev 1.5x above MA,11.548602069630466,0.17771994644555078,0.21735171988489105,0.7918036191886,1.100314690372686,-0.4006641201677553,0.4435634175856342
last 15 years,Lev 2x above MA,18.589710496842784,0.21580839311939148,0.2672002602708329,0.8089615285292687,1.1173318629752358,-0.4582027563350908,0.4709888583943119
last 15 years,Lev 3x above MA,41.07266524019057,0.2819885340569761,0.37472724996925777,0.8119642667110124,1.1151301631029187,-0.5596151193933872,0.5038972756180117
last 15 years,Lev 5x above MA,104.67345141520833,0.36473637978281204,0.6011106694601319,0.7993322840006534,1.094011955194185,-0.7158474315561976,0.5095169217690745
