etf,leverage,start,end,n_days,realized_beta,tracking_error_ann,etf_cagr,synthetic_gross_cagr,synthetic_costed_cagr,gap_gross_minus_etf,gap_costed_minus_etf
SSO,2.0,2006-06-22,2026-06-08,5021,1.948257400232824,0.03790210825163177,0.15652391025257617,0.19494357929242545,0.15998635956868834,0.03841966903984928,0.0034624493161121705
UPRO,3.0,2009-06-26,2026-06-08,4263,2.9673254428108597,0.03143547593768842,0.3286487168893686,0.39763348772015794,0.334481933587345,0.06898477083078935,0.005833216697976429
SPXL,3.0,2008-11-06,2026-06-08,4422,2.9284551639469063,0.0456251347736037,0.28429468321358464,0.35060788798632814,0.2906986035970405,0.0663132047727435,0.00640392038345583
