strategy,cost_scenario,window,leverage,name,cagr,volatility,sharpe,sortino,max_drawdown,calmar,total_return,n_switches,years
leveraged_bad_market,gross (0 cost),252.0,1.25,Lev 1.25x below (252d),0.11663118487938551,0.20444635188204188,0.5055251588720024,0.7181863733520852,-0.631737298898537,0.18461975425978067,61.00591513055606,202,37.41269841269841
leveraged_bad_market,gross (0 cost),252.0,1.5,Lev 1.5x below (252d),0.11785822429094606,0.23182716172010856,0.47640113641461346,0.6791411225770194,-0.7007624158290703,0.1681857097765557,63.60676567015301,202,37.41269841269841
leveraged_bad_market,gross (0 cost),252.0,2.0,Lev 2x below (252d),0.11661360761908046,0.290092326504512,0.42959721038749976,0.615165431838503,-0.8368541139148249,0.13934759437766164,60.96940872061423,202,37.41269841269841
leveraged_bad_market,gross (0 cost),252.0,2.5,Lev 2.5x below (252d),0.11039971439593699,0.35107671131486784,0.3953641820884179,0.5676155745778997,-0.9199085913897727,0.12001161357689695,49.29269217102125,202,37.41269841269841
leveraged_bad_market,gross (0 cost),252.0,3.0,Lev 3x below (252d),0.0992068258958545,0.41357917126444993,0.36990147236605014,0.5319120144616764,-0.9640783958566077,0.10290327666528276,33.426417006571626,202,37.41269841269841
buy_and_hold,net (realistic),,1.0,Buy & Hold 1x,0.11365426195900086,0.17866096023688144,0.5305401027798046,0.7493750903000598,-0.5530706086665504,0.2054968392426792,61.46300343951163,0,38.40873015873016
ma_to_cash,net (realistic),50.0,0.0,MA->Cash (50d),0.05710060706536857,0.10937442054320586,0.29994032222291034,0.4092398447290611,-0.36967285226921,0.15446253820062966,7.348107407628932,652,38.214285714285715
leveraged_bad_market,net (realistic),50.0,1.0,Lev 1x below (50d),0.11289775905176169,0.17835819794953917,0.5280762560549801,0.7467074001916819,-0.5530706086665502,0.20412901586645055,58.601183128317516,0,38.214285714285715
leveraged_bad_market,net (realistic),50.0,1.25,Lev 1.25x below (50d),0.11574257431253265,0.20730088276490374,0.49363745085353494,0.7009180254633903,-0.6150994028970735,0.18816889395013803,64.7089430842296,652,38.214285714285715
leveraged_bad_market,net (realistic),50.0,1.5,Lev 1.5x below (50d),0.12012736338705232,0.23794902847705532,0.47530415092689454,0.6772607499619434,-0.6820052113955258,0.17613848307881183,75.33412901800399,652,38.214285714285715
leveraged_bad_market,net (realistic),50.0,2.0,Lev 2x below (50d),0.12469244344903507,0.3022572802699946,0.44542100720224365,0.637397152244688,-0.8131748015954573,0.1533402697727318,88.17011854161348,652,38.214285714285715
leveraged_bad_market,net (realistic),50.0,2.5,Lev 2.5x below (50d),0.12354316306092228,0.36882144750786494,0.42341757155318566,0.6073205578264144,-0.8990525002555272,0.13741484843856064,84.75344846402582,652,38.214285714285715
leveraged_bad_market,net (realistic),50.0,3.0,Lev 3x below (50d),0.11660172461419238,0.4366109597226376,0.4069968839805044,0.584574011428623,-0.9499092237730336,0.12275038676964421,66.67045604423546,652,38.214285714285715
ma_to_cash,net (realistic),100.0,0.0,MA->Cash (100d),0.07416471471140551,0.11300471426478298,0.4369263666924399,0.6015050109591392,-0.48830550755206403,0.1518817903226249,14.177027075924297,425,38.01587301587302
leveraged_bad_market,net (realistic),100.0,1.0,Lev 1x below (100d),0.11475450375417973,0.17838531292446236,0.5382267272187974,0.7616981447003022,-0.5530706086665511,0.20748617257180224,61.166988646868106,0,38.01587301587302
leveraged_bad_market,net (realistic),100.0,1.25,Lev 1.25x below (100d),0.11593584383013389,0.20623963494329292,0.4967000794657977,0.7053516250441735,-0.6401906328039826,0.18109581410515863,63.72123813770699,425,38.01587301587302
leveraged_bad_market,net (realistic),100.0,1.5,Lev 1.5x below (100d),0.1182070469748322,0.23586375575631366,0.47079345278687396,0.6705747196838419,-0.711136352672266,0.166222759574364,68.92214441544256,425,38.01587301587302
leveraged_bad_market,net (realistic),100.0,2.0,Lev 2x below (100d),0.11869656485075031,0.2982830519432571,0.4299632490372446,0.6146976979767861,-0.820792772477059,0.14461209799952016,70.09528220925141,425,38.01587301587302
leveraged_bad_market,net (realistic),100.0,2.5,Lev 2.5x below (100d),0.11372416018980269,0.3631025648243528,0.40059849645804596,0.5738919137260339,-0.8980732520066139,0.1266312741590985,59.019567210008724,425,38.01587301587302
leveraged_bad_market,net (realistic),100.0,3.0,Lev 3x below (100d),0.10326708407698892,0.4292362890015156,0.3789659141345286,0.5435680424302325,-0.9496256565339201,0.10874504428819662,40.931712265725906,425,38.01587301587302
ma_to_cash,net (realistic),150.0,0.0,MA->Cash (150d),0.0833134115778964,0.11579445128312003,0.5040380803726829,0.6952515996574562,-0.30808220521528085,0.2704259128490686,19.62113411178643,332,37.817460317460316
leveraged_bad_market,net (realistic),150.0,1.0,Lev 1x below (150d),0.11313898048626081,0.17844842190015694,0.5310070426337933,0.750853753809147,-0.5530706086665507,0.20456516530328395,56.594334041476415,0,37.817460317460316
leveraged_bad_market,net (realistic),150.0,1.25,Lev 1.25x below (150d),0.11261027877568242,0.20546899292052362,0.48415939518088397,0.6869177884060084,-0.6378461847781822,0.17654770297770744,55.56882114240582,332,37.817460317460316
leveraged_bad_market,net (realistic),150.0,1.5,Lev 1.5x below (150d),0.11295440226948239,0.2343026087931701,0.45304772124750387,0.644677389813309,-0.7071020544046602,0.15974271544803187,56.23427137355781,332,37.817460317460316
leveraged_bad_market,net (realistic),150.0,2.0,Lev 2x below (150d),0.10973663225228436,0.2952556287180219,0.40470478202221044,0.5780149330779262,-0.8377784410567429,0.13098526635976285,50.29825783661065,332,37.817460317460316
leveraged_bad_market,net (realistic),150.0,2.5,Lev 2.5x below (150d),0.10129627012303888,0.3587168019490481,0.37029913271547626,0.529962729114482,-0.9188993026428515,0.11023652954322645,37.433436990944465,332,37.817460317460316
leveraged_bad_market,net (realistic),150.0,3.0,Lev 3x below (150d),0.08765830018765586,0.4235602502831444,0.3451072365527944,0.4945185535309612,-0.9629648617465363,0.09102959377839537,22.991248762536856,332,37.817460317460316
ma_to_cash,net (realistic),200.0,0.0,MA->Cash (200d),0.09768775501268023,0.11762325379108098,0.6119738990643637,0.8487043320126362,-0.20997011523089215,0.46524599419902485,32.32534398207185,224,37.61904761904762
leveraged_bad_market,net (realistic),200.0,1.0,Lev 1x below (200d),0.11317987514098715,0.17867831252249128,0.5319734810073046,0.752103189619902,-0.5530706086665504,0.20463910641330785,55.460403544755344,0,37.61904761904762
leveraged_bad_market,net (realistic),200.0,1.25,Lev 1.25x below (200d),0.11000248371306909,0.2052049154564499,0.4741373318696821,0.6720809432704978,-0.6424607513603467,0.1712205507965269,49.70419057480456,224,37.61904761904762
leveraged_bad_market,net (realistic),200.0,1.5,Lev 1.5x below (200d),0.10758253818020336,0.2335720003202768,0.4339435929743214,0.6165870014310088,-0.7230743276991821,0.14878489535443792,45.707500314186994,224,37.61904761904762
leveraged_bad_market,net (realistic),200.0,2.0,Lev 2x below (200d),0.0989585614322206,0.293668135201884,0.37280438735821986,0.5313214502734702,-0.8590935882311701,0.11518950064098514,33.8079226966429,224,37.61904761904762
leveraged_bad_market,net (realistic),200.0,2.5,Lev 2.5x below (200d),0.08533551684942031,0.3563444050097225,0.33003068614590975,0.4711600939781109,-0.934443272162267,0.0913223085784085,20.77130100803694,224,37.61904761904762
leveraged_bad_market,net (realistic),200.0,3.0,Lev 3x below (200d),0.06680820999899195,0.42044852643333,0.29903414880999923,0.4273468391921406,-0.9721558079798926,0.06872171050216444,10.391520909422182,224,37.61904761904762
ma_to_cash,net (realistic),210.0,0.0,MA->Cash (210d),0.09321086417673285,0.11785532476616173,0.5767011956016617,0.7974651775957295,-0.2438871556086375,0.38218849182163206,27.475375101999557,220,37.57936507936508
leveraged_bad_market,net (realistic),210.0,1.0,Lev 1x below (210d),0.11296306720095961,0.17870396442732733,0.5310882900010762,0.750775333595496,-0.5530706086665507,0.2042470987082694,54.810662868078005,0,37.57936507936508
leveraged_bad_market,net (realistic),210.0,1.25,Lev 1.25x below (210d),0.11093384835619391,0.2051702198797831,0.4784934533971551,0.6785748022499473,-0.6400833677677322,0.17331156212209,51.11149328800049,220,37.57936507936508
leveraged_bad_market,net (realistic),210.0,1.5,Lev 1.5x below (210d),0.10963205815239196,0.23348108924570743,0.4421347321137291,0.6287803779871326,-0.7167086774269884,0.1529659980481543,48.86524538497232,220,37.57936507936508
leveraged_bad_market,net (realistic),210.0,2.0,Lev 2x below (210d),0.10322765600534911,0.2934736290532605,0.38621949880337114,0.5512130429515439,-0.8525611562430403,0.12107947359487947,39.117040233866206,220,37.57936507936508
leveraged_bad_market,net (realistic),210.0,2.5,Lev 2.5x below (210d),0.09177643111610756,0.35605476028771477,0.34674579189270943,0.49586149159156045,-0.9298317710643558,0.09870218890354039,26.104461643054787,220,37.57936507936508
leveraged_bad_market,net (realistic),210.0,3.0,Lev 3x below (210d),0.07534291399281412,0.4200691409243433,0.31798526510656466,0.4552785752383414,-0.9695118005934587,0.07771221964157128,14.329055280251366,220,37.57936507936508
ma_to_cash,net (realistic),250.0,0.0,MA->Cash (250d),0.09655987398237298,0.12083741277785282,0.5924271184408291,0.8214520047272456,-0.24055951259292196,0.40139703037132807,30.48008882060501,192,37.42063492063492
leveraged_bad_market,net (realistic),250.0,1.0,Lev 1x below (250d),0.11343639740991551,0.17894301893582168,0.5341274753106952,0.75520523952618,-0.5530706086665507,0.20510292109611442,54.75058379697178,0,37.42063492063492
leveraged_bad_market,net (realistic),250.0,1.25,Lev 1.25x below (250d),0.1111349512911548,0.20451570124006052,0.4812432951097458,0.6824444154675375,-0.6384035366166971,0.17408260593312028,50.59683255829985,192,37.42063492063492
leveraged_bad_market,net (realistic),250.0,1.5,Lev 1.5x below (250d),0.10947227635559043,0.23197624284344695,0.4437412769889595,0.6309435804340574,-0.7274206502732066,0.15049377044008105,47.78500709988238,192,37.42063492063492
leveraged_bad_market,net (realistic),250.0,2.0,Lev 2x below (250d),0.10248264198724599,0.2903895381823555,0.3855818964011762,0.5501194353367624,-0.8635513006760964,0.11867580062355265,37.510413240875366,192,37.42063492063492
leveraged_bad_market,net (realistic),250.0,2.5,Lev 2.5x below (250d),0.09063219496083486,0.3515108137885655,0.34423024179138356,0.4920717751225878,-0.9375081231356556,0.0966735036467738,24.70078697364789,192,37.42063492063492
leveraged_bad_market,net (realistic),250.0,3.0,Lev 3x below (250d),0.0739861266349251,0.41414282828195326,0.31397971225995547,0.44935565150165796,-0.973856666353517,0.07597229570954911,13.454063663551842,192,37.42063492063492
ma_to_cash,net (realistic),252.0,0.0,MA->Cash (252d),0.09356423318054152,0.12109837515449087,0.5689112571346802,0.7873362092134225,-0.28853480715666424,0.32427364345591564,27.396838173100793,202,37.41269841269841
leveraged_bad_market,net (realistic),252.0,1.0,Lev 1x below (252d),0.1131824161278272,0.17895720793213638,0.5328834875555949,0.7534272277700028,-0.5530706086665504,0.20464370073960222,54.229656762659346,0,37.41269841269841
leveraged_bad_market,net (realistic),252.0,1.25,Lev 1.25x below (252d),0.1115298736586241,0.204445899841106,0.4831259424825598,0.6853756723666666,-0.6384035366166967,0.17470121523713872,51.24367723550755,202,37.41269841269841
leveraged_bad_market,net (realistic),252.0,1.5,Lev 1.5x below (252d),0.11050504731811372,0.23182629612845254,0.4479335473554905,0.6373402721259012,-0.7253679057863676,0.152343447285989,49.47148864652635,202,37.41269841269841
leveraged_bad_market,net (realistic),252.0,2.0,Lev 2x below (252d),0.10479238703073013,0.29008946018587234,0.3929215892091149,0.5611950607596148,-0.8614845720957468,0.1216416293745111,40.61469950612144,202,37.41269841269841
leveraged_bad_market,net (realistic),252.0,2.5,Lev 2.5x below (252d),0.09420658596548392,0.35107097248014785,0.35355322050519833,0.5060573316162412,-0.9360780140300414,0.10063967378092972,28.02760692626181,202,37.41269841269841
leveraged_bad_market,net (realistic),252.0,3.0,Lev 3x below (252d),0.07879581711986883,0.41357010288258833,0.32464203272846226,0.465284497258853,-0.9730528001380526,0.08097794601556012,16.074436151516693,202,37.41269841269841
