etf,leverage,window,real_cagr,synthetic_cagr,real_sharpe,synthetic_sharpe,real_max_dd,synthetic_max_dd
SSO,2.0,200,0.09347299188854485,0.10221331092054586,0.4362400740738443,0.4573358206932045,-0.8274533943341791,-0.8184619706710419
UPRO,3.0,200,0.17030595435245388,0.18203338278442605,0.6003478894838373,0.6238757000205312,-0.675465814960947,-0.6733650438406502
SPXL,3.0,200,0.1729827835393425,0.18641466101929005,0.6102154080903031,0.6371357760891329,-0.6758111401545253,-0.6733650438406502
