name,cagr,volatility,sharpe,sortino,max_drawdown,calmar,total_return,years,strategy
Buy & Hold 1x,0.08298587980027161,0.1928764003973536,0.4132167582636486,0.5817085621812425,-0.5525024106969593,0.15020003206065347,7.1892644191856085,26.376984126984127,buy_hold
MA200 -> Cash,0.07473488494160363,0.11463170156769972,0.5234923481302862,0.7149484312185718,-0.20550512897031292,0.3636643295282414,5.69322006745711,26.376984126984127,ma_to_cash
Lev 1.5x ABOVE (net),0.0949684123266612,0.2315740721317549,0.42738456308744605,0.5948936186870375,-0.5897171805682604,0.16104060633802156,9.947000442363512,26.376984126984127,leveraged_above_ma_net
Lev 2x ABOVE (net),0.11140474608275786,0.27681312565802035,0.4533088028261921,0.6267578441769914,-0.6278452970285432,0.17743980341974777,15.217037914635402,26.376984126984127,leveraged_above_ma_net
Lev 3x ABOVE (net),0.13349921833544065,0.37728574524610237,0.47312838940804086,0.6495639163684026,-0.7351623465792361,0.1815914797005345,26.256355639776956,26.376984126984127,leveraged_above_ma_net
Lev 5x ABOVE (net),0.13138323935719032,0.593857769603911,0.47915892018154477,0.6547168914043824,-0.9043486943922796,0.14527940403063178,24.945573761016526,26.376984126984127,leveraged_above_ma_net
Lev 1.5x BELOW (net),0.07151159243178085,0.2593976762516753,0.3243421838844328,0.459563114180572,-0.7230743276991838,0.09889936579456515,5.183396098348278,26.376984126984127,leveraged_below_ma_net
Lev 2x BELOW (net),0.056989025309543306,0.33077148711641857,0.2771779671848067,0.3941601277763915,-0.8590935882311712,0.06633622470269011,3.3142630134591453,26.376984126984127,leveraged_below_ma_net
Lev 3x BELOW (net),0.00946375131435917,0.4793388078773907,0.22276425283829546,0.3177596147845464,-0.9721558079798928,0.009734809211318224,0.28203854271816575,26.376984126984127,leveraged_below_ma_net
Lev 5x BELOW (net),-0.14993847448530273,0.7841684838543816,0.1746721845607071,0.2496080289035074,-0.9996536125060024,-0.1499904292942296,-0.9862243129506448,26.376984126984127,leveraged_below_ma_net
