period,strategy,n_days,total_return,cagr,volatility,sharpe,max_drawdown,calmar,deepest_dd_recovery_days
Full sample,Buy & Hold,9679,63.65815173514095,0.11465618629462093,0.17866096023688144,0.5355753750929946,-0.5525024106969596,0.20752160366139716,1636.0
Full sample,MA200 → Cash,9480,37.28196452835184,0.10174120701767153,0.11760991542660697,0.643382787792525,-0.20550512897031337,0.4950786752985068,1024.0
Full sample,Lev 2x below MA200,9480,53.49382841507657,0.11213131081780547,0.2936621795461578,0.41337205435709634,-0.8303141140956671,0.13504685626105825,5221.0
1950 onward,Buy & Hold,9679,63.65815173514095,0.11465618629462093,0.17866096023688144,0.5355753750929946,-0.5525024106969596,0.20752160366139716,1636.0
1950 onward,MA200 → Cash,9480,37.28196452835184,0.10174120701767153,0.11760991542660697,0.643382787792525,-0.20550512897031337,0.4950786752985068,1024.0
1950 onward,Lev 2x below MA200,9480,53.49382841507657,0.11213131081780547,0.2936621795461578,0.41337205435709634,-0.8303141140956671,0.13504685626105825,5221.0
1970 onward,Buy & Hold,9679,63.65815173514095,0.11465618629462093,0.17866096023688144,0.5355753750929946,-0.5525024106969596,0.20752160366139716,1636.0
1970 onward,MA200 → Cash,9480,37.28196452835184,0.10174120701767153,0.11760991542660697,0.643382787792525,-0.20550512897031337,0.4950786752985068,1024.0
1970 onward,Lev 2x below MA200,9480,53.49382841507657,0.11213131081780547,0.2936621795461578,0.41337205435709634,-0.8303141140956671,0.13504685626105825,5221.0
1980 onward,Buy & Hold,9679,63.65815173514095,0.11465618629462093,0.17866096023688144,0.5355753750929946,-0.5525024106969596,0.20752160366139716,1636.0
1980 onward,MA200 → Cash,9480,37.28196452835184,0.10174120701767153,0.11760991542660697,0.643382787792525,-0.20550512897031337,0.4950786752985068,1024.0
1980 onward,Lev 2x below MA200,9480,53.49382841507657,0.11213131081780547,0.2936621795461578,0.41337205435709634,-0.8303141140956671,0.13504685626105825,5221.0
1990 onward,Buy & Hold,9175,42.630318486851344,0.109272711786637,0.18011263132334282,0.5187183162270075,-0.5525024106969596,0.1977778009127487,1636.0
1990 onward,MA200 → Cash,9175,27.598719102412215,0.09647801416726298,0.11723657286393352,0.6181299912417567,-0.2055051289703128,0.4694676704696755,1024.0
1990 onward,Lev 2x below MA200,9175,39.70986718833715,0.10716389555945849,0.2975878436861441,0.4022837282865989,-0.8303141140956676,0.1290642827096532,5221.0
2000 onward,Buy & Hold,6647,7.189264419185713,0.08298587980027206,0.1928764003973536,0.41321675826365023,-0.5525024106969596,0.1502000320606542,1636.0
2000 onward,MA200 → Cash,6647,5.693220067457177,0.07473488494160407,0.11463170156769974,0.5234923481302889,-0.20550512897031292,0.36366432952824357,1024.0
2000 onward,Lev 2x below MA200,6647,5.016652803567065,0.07040167529848551,0.33076542856956254,0.31528164528501657,-0.8303141140956678,0.08478920700410245,5221.0
2010 onward,Buy & Hold,4132,8.00885948129254,0.1434649168054387,0.17250307993506078,0.7825920465701064,-0.3379046365187167,0.4245722055888159,172.0
2010 onward,MA200 → Cash,4132,3.7474433449637745,0.09965267287683255,0.11943926853114402,0.7380482616155608,-0.2055051289703126,0.4849157457828142,1024.0
2010 onward,Lev 2x below MA200,4132,12.717059765360485,0.17316368433359797,0.2762341655782056,0.6665942108980047,-0.5014115748667183,0.34535238716742256,186.0
Post-GFC (2009+),Buy & Hold,4260,10.043657480595867,0.15267074766365285,0.17240112265800464,0.8317456720460504,-0.33790463651871705,0.45181607815907016,172.0
Post-GFC (2009+),MA200 → Cash,4260,4.819730934774462,0.1098078121045527,0.12124066371436688,0.8079205582670587,-0.20550512897031348,0.5343312483476514,1024.0
Post-GFC (2009+),Lev 2x below MA200,4260,15.815281668459228,0.18169784210884532,0.27362098915023314,0.6982471320188071,-0.5014115748667183,0.3623726519618997,186.0
Post-COVID (2020-04+),Buy & Hold,1554,2.1416113799588308,0.20398012586342373,0.17588525146762904,0.9846365904092762,-0.2449163980014808,0.8328561400049271,708.0
Post-COVID (2020-04+),MA200 → Cash,1554,1.4188196276776686,0.15400042931714042,0.12342370179621305,0.9961271943860593,-0.17963907086034525,0.8572769196566554,721.0
Post-COVID (2020-04+),Lev 2x below MA200,1554,2.820620316312124,0.24279669246237345,0.27956187647783437,0.8166572861925404,-0.3797764801850121,0.6393147157088098,629.0
