drift,vol,leverage,horizon_years,median_terminal,mean_terminal,median_cagr,mean_cagr,median_vol,median_sharpe,median_max_dd,worst_max_dd,prob_loss,prob_beat_1x,prob_dd_gt_50,prob_dd_gt_70,prob_dd_gt_90
0.0,0.05,1.0,1,0.9986165109610217,0.9996839871393217,-0.0013834890389783916,-0.00031601286067822087,0.04992091071314426,-0.002032808927810826,-0.05250230724893945,-0.17209597215899408,0.511,0.0,0.0,0.0,0.0
0.0,0.05,1.25,1,0.9979082239364796,0.999601424073319,-0.002091776063520401,-0.0003985759266810234,0.0624011383914304,-0.00203280892781325,-0.06535082723530433,-0.21062138488570248,0.51275,0.4765,0.0,0.0,0.0
0.0,0.05,1.5,1,0.9970369953504374,0.9995173994119214,-0.002963004649562506,-0.0004826005880786688,0.0748813660697165,-0.0020328089278142695,-0.07809212710397129,-0.24748569641993812,0.51575,0.4735,0.0,0.0,0.0
0.0,0.05,2.0,1,0.994768090571716,0.9993448872472552,-0.005231909428283998,-0.0006551127527447489,0.09984182142628865,-0.002032808927821566,-0.10326556013995908,-0.31648905586276266,0.52075,0.4675,0.0,0.0,0.0
0.0,0.05,2.5,1,0.9919867088671157,0.9991662906260803,-0.008013291132884348,-0.0008337093739196209,0.12480227678286084,-0.002032808927812456,-0.12795300512597146,-0.37960013079564336,0.5265,0.46275,0.0,0.0,0.0
0.0,0.05,3.0,1,0.9886145812451503,0.9989814426688133,-0.011385418754849663,-0.001018557331186568,0.14976273213943286,-0.0020328089278152414,-0.15212469689762165,-0.43727918280433853,0.5325,0.45875,0.0,0.0,0.0
0.0,0.05,1.0,3,0.9967976632453466,0.9992236345228701,-0.0010685870600261604,-0.0010676598860685318,0.05000675538838284,0.003923188739081305,-0.09286176903104326,-0.26466360607400286,0.5135,0.0,0.0,0.0,0.0
0.0,0.05,1.25,3,0.9948004647397933,0.9989954958621072,-0.0017361910406903935,-0.0015984204189844224,0.06250844423547854,0.003923188739081974,-0.11513248850200641,-0.31983045071320404,0.5175,0.46625,0.0,0.0,0.0
0.0,0.05,1.5,3,0.9923589679532665,0.9987538733576149,-0.002553525669818202,-0.0022344319420696916,0.0750101330825743,0.00392318873908949,-0.13713437292380853,-0.37114312028533625,0.523,0.463,0.0,0.0,0.0
0.0,0.05,2.0,3,0.9861433279960465,0.9982303514442319,-0.004640390805158101,-0.0038213758512778665,0.10001351077676572,0.003923188739083877,-0.17973964346757476,-0.4631772514988137,0.52975,0.453,0.0,0.0,0.0
