name,grew_1dollar_to,cagr,volatility,sharpe,sortino,calmar,max_drawdown,info_ratio_vs_sp
Buy & Hold 1x,13020.989530849005,0.10138792307696165,0.1892142662267489,0.39525416852051193,0.5600640680808391,0.1209099805168695,-0.8385405625205264,
Always 1.5x (constant),17377.67658063513,0.10463289391771213,0.2838266680435237,0.3531565732218394,0.4995946214291769,0.11020354395456268,-0.9494512623010803,0.2689613826244943
Lev 1.5x above MA,55471.01341448856,0.11878943087257299,0.23634846337949142,0.4252111143623236,0.60077666539257,0.13857455542147795,-0.8572239724043997,0.4331469728032401
Always 2x (constant),23865.910769428072,0.10821090342680262,0.37844013006389676,0.357091615102876,0.5052386620323105,0.10978618404918634,-0.9856513764821448,0.31892906168524005
Lev 2x above MA,402862.98522996204,0.14181731886104432,0.2894267714874267,0.4662107869520651,0.6581205841966659,0.15895497110605056,-0.8921854904835127,0.4892700300001217
Always 3x (constant),2802.6136985897756,0.08427837817056427,0.56766811425898,0.3610266569839126,0.5108844129819456,0.08431862388356601,-0.9995226948549669,0.3439129012156129
Lev 3x above MA,6429402.62492286,0.17478493103911097,0.4043565946835506,0.504027762375784,0.7109307110301536,0.1827333591980217,-0.9565025882860431,0.5173292543456679
Always 4x (constant),6.033706533648183,0.0184892418870497,0.7568966285130548,0.36299417792443084,0.5137079299038861,0.018489274172722607,-0.9999982538160987,0.35224084772573716
Lev 4x above MA,20129416.054842636,0.18864344782016418,0.5245345508070369,0.519852692344962,0.7330233898263501,0.1902515380068969,-0.9915475574937301,0.5266819688569104
