name,window,leverage,cagr,sharpe,max_drawdown,calmar,beats_cagr,beats_sharpe,beats_calmar,beats_maxdd,beats_all
Lev 1.25x below (50d),50.0,1.25,0.12491995957742441,0.5331354187550099,-0.6076519824087956,0.2055781322101982,True,False,False,False,False
Lev 1.5x below (50d),50.0,1.5,0.13462914372602408,0.5293381940809159,-0.6600635851742317,0.20396390097855058,True,False,False,False,False
Lev 2x below (50d),50.0,2.0,0.14994789898261862,0.5188602561082248,-0.7643089134594528,0.1961875575988209,True,False,False,False,False
Lev 2.5x below (50d),50.0,2.5,0.15955863533058645,0.5089307387465449,-0.8598563123777818,0.1855643007252631,True,False,False,False,False
Lev 3x below (50d),50.0,3.0,0.16321855615317427,0.5006304829134056,-0.9234655801670499,0.17674568458052212,True,False,False,False,False
Lev 1.25x below (100d),100.0,1.25,0.12323400126605644,0.5282881752171869,-0.6337673042688401,0.1944467637191037,True,False,False,False,False
Lev 1.5x below (100d),100.0,1.5,0.12940256543747308,0.5130020569045618,-0.7040142135924208,0.18380675125458318,True,False,False,False,False
Lev 2x below (100d),100.0,2.0,0.13770551217506544,0.48641445684836265,-0.8139057406451954,0.16919098281074194,True,False,False,False,False
Lev 2.5x below (100d),100.0,2.5,0.140477493068758,0.46593200438683285,-0.8889104214205409,0.15803335148694192,True,False,False,False,False
Lev 3x below (100d),100.0,3.0,0.13758136351769545,0.4502738065017138,-0.937131108267943,0.14681122236138427,True,False,False,False,False
Lev 1.25x below (150d),150.0,1.25,0.11896328688134195,0.5118590887868257,-0.6306590194003587,0.18863329187689135,True,False,False,False,False
Lev 1.5x below (150d),150.0,1.5,0.12250014599749348,0.4894779104181213,-0.6990106664131779,0.17524789231912083,True,False,False,False,False
Lev 2x below (150d),150.0,2.0,0.12564472527321313,0.4528807546337935,-0.8076679076316529,0.15556483560383705,True,False,False,False,False
Lev 2.5x below (150d),150.0,2.5,0.12346179987201555,0.42581158470204217,-0.8905367010793207,0.13863752018572756,True,False,False,False,False
Lev 3x below (150d),150.0,3.0,0.1158873039768451,0.4055537819960911,-0.9455293902122758,0.12256340752224303,True,False,False,False,False
Lev 1.25x below (200d),200.0,1.25,0.11558424826473046,0.4985887289586116,-0.6355852931971643,0.1818548187031055,True,False,False,False,False
Lev 1.5x below (200d),200.0,1.5,0.11571418754469875,0.4652675996729631,-0.7070059537468828,0.16366791104297534,True,False,False,False,False
Lev 2x below (200d),200.0,2.0,0.11213131081780547,0.41337205435709634,-0.8303141140956671,0.13504685626105825,False,False,False,False,False
Lev 2.5x below (200d),200.0,2.5,0.10341405080827637,0.37636226602189804,-0.9151279524672624,0.11300501807366209,False,False,False,False,False
Lev 3x below (200d),200.0,3.0,0.08958976965038778,0.3492338192834151,-0.9612413761717095,0.09320215699327543,False,False,False,False,False
Lev 1.25x below (210d),210.0,1.25,0.11642412402572999,0.5025296172954195,-0.6332659011020958,0.18384713881343182,True,False,False,False,False
Lev 1.5x below (210d),210.0,1.5,0.11761553499064892,0.4728467445215991,-0.7032593939061336,0.16724346096164264,True,False,False,False,False
Lev 2x below (210d),210.0,2.0,0.11615499289754982,0.4259094891493321,-0.8230714630068763,0.14112382474446136,True,False,False,False,False
Lev 2.5x below (210d),210.0,2.5,0.10953490295708623,0.3920325126599836,-0.909628113904705,0.12041723566226692,False,False,False,False,False
Lev 3x below (210d),210.0,3.0,0.09775317645813297,0.3670267688957153,-0.9578776791212174,0.10205183666855497,False,False,False,False,False
Lev 1.25x below (250d),250.0,1.25,0.11622078897556842,0.5035800623898303,-0.6317372988985381,0.18397012362291176,True,False,False,False,False
Lev 1.5x below (250d),250.0,1.5,0.11677766842722481,0.4720392355917298,-0.70076241582907,0.16664373800507765,True,False,False,False,False
Lev 2x below (250d),250.0,2.0,0.1141846825731394,0.4219334125643979,-0.8392414959662335,0.13605700280784683,False,False,False,False,False
Lev 2.5x below (250d),250.0,2.5,0.10662644071623872,0.3856148680781404,-0.9216671796959782,0.1156886597083891,False,False,False,False,False
Lev 3x below (250d),250.0,3.0,0.09411132206212303,0.35874178361172887,-0.9651303936175326,0.0975115100347964,False,False,False,False,False
Lev 1.25x below (252d),252.0,1.25,0.11663118487938551,0.5055251588720024,-0.631737298898537,0.18461975425978067,True,False,False,False,False
Lev 1.5x below (252d),252.0,1.5,0.11785822429094606,0.47640113641461346,-0.7007624158290703,0.1681857097765557,True,False,False,False,False
Lev 2x below (252d),252.0,2.0,0.11661360761908046,0.42959721038749976,-0.8368541139148249,0.13934759437766164,True,False,False,False,False
Lev 2.5x below (252d),252.0,2.5,0.11039971439593699,0.3953641820884179,-0.9199085913897727,0.12001161357689695,False,False,False,False,False
Lev 3x below (252d),252.0,3.0,0.0992068258958545,0.36990147236605014,-0.9640783958566077,0.10290327666528276,False,False,False,False,False
