name,start,end,n_days,years,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,worst_day,best_day,worst_month,best_month,pct_positive_days,pct_positive_months,n_switches,window,leverage_below,strategy,leverage
Lev 1x below (200d),1988-10-17,2026-06-08,9480,37.61904761904762,57.40311584211617,0.11418137437284592,0.17867831252249128,0.5370082601494074,0.7593741357233322,-0.5525024106969594,0.20666221931739764,-0.11979863134313173,0.11581137462505198,-0.1679505612071044,0.12819402479140196,0.5447257383966245,0.6600441501103753,0,200,1.0,leveraged_bad_market,1.0
Lev 1.25x below (200d),1988-10-17,2026-06-08,9480,37.61904761904762,60.2342004500238,0.11558424826473046,0.20520259966417026,0.4985887289586116,0.7078164263503796,-0.6355852931971643,0.1818548187031055,-0.14974828917891467,0.14476421828131497,-0.21238378607248365,0.160214626028216,0.5447257383966245,0.6622516556291391,224,200,1.25,leveraged_bad_market,1.25
Lev 1.5x below (200d),1988-10-17,2026-06-08,9480,37.61904761904762,60.503085349042856,0.11571418754469875,0.23356816024079372,0.4652675996729631,0.6624235494825428,-0.7070059537468828,0.16366791104297534,-0.1796979470146976,0.17371706193757797,-0.2570975834171739,0.19212979684210407,0.5447257383966245,0.6688741721854304,224,200,1.5,leveraged_bad_market,1.5
Lev 2x below (200d),1988-10-17,2026-06-08,9480,37.61904761904762,53.49382841507657,0.11213131081780547,0.2936621795461578,0.41337205435709634,0.5907283856641895,-0.8303141140956671,0.13504685626105825,-0.23959726268626347,0.23162274925010395,-0.34613349268410787,0.2554463716294375,0.5447257383966245,0.673289183222958,224,200,2.0,leveraged_bad_market,2.0
Lev 2.5x below (200d),1988-10-17,2026-06-08,9480,37.61904761904762,39.53050738004478,0.10341405080827637,0.35633707359532113,0.37636226602189804,0.5389901773663663,-0.9151279524672624,0.11300501807366209,-0.29949657835782934,0.28952843656262994,-0.4328252237485929,0.32818785219733315,0.5447257383966245,0.6710816777041942,224,200,2.5,leveraged_bad_market,2.5
Lev 3x below (200d),1988-10-17,2026-06-08,9480,37.61904761904762,24.22314334193188,0.08958976965038778,0.4204402317170676,0.3492338192834151,0.5007995441597094,-0.9612413761717095,0.09320215699327543,-0.3593958940293952,0.34743412387515593,-0.5153327801815397,0.4057871339914658,0.5447257383966245,0.6710816777041942,224,200,3.0,leveraged_bad_market,3.0
