name,cagr,volatility,sharpe,sortino,max_drawdown,calmar,total_return,years
Buy & Hold 1x,0.10138792307696165,0.1892142662267489,0.39525416852051193,0.5600640680808391,-0.8385405625205264,0.1209099805168695,13019.989530849005,98.10714285714286
MA200 -> Cash,0.11286568418712695,0.12627862735380427,0.5952624110132476,0.8407945836249544,-0.4620936935351404,0.24424848416275552,33088.52776355567,97.31746031746032
"Always 1.5x (daily, net)",0.10463289391771213,0.2838266680435237,0.3531565732218394,0.4995946214291769,-0.9494512623010803,0.11020354395456268,17376.67658063513,98.10714285714286
"Always 2x (daily, net)",0.10821090342680262,0.37844013006389676,0.357091615102876,0.5052386620323105,-0.9856513764821448,0.10978618404918634,23864.910769428072,98.10714285714286
"Always 3x (daily, net)",0.08427837817056427,0.56766811425898,0.3610266569839126,0.5108844129819456,-0.9995226948549669,0.08431862388356601,2801.6136985897756,98.10714285714286
"Always 5x (daily, net)",,0.9461253547849923,0.3641746904887418,0.5154022453365058,-1.0000747577718694,,-1.000076591201172,98.10714285714286
