horizon,name,grew_1dollar_to,cagr,volatility,sharpe,sortino,calmar,max_drawdown,info_ratio_vs_sp
full (1928+),Buy & Hold 1x,13020.989530849005,0.10138792307696165,0.1892142662267489,0.39525416852051193,0.5600640680808391,0.1209099805168695,-0.8385405625205264,
full (1928+),MA200 -> Cash,33089.52776355567,0.11286568418712695,0.12627862735380427,0.5952624110132476,0.8407945836249544,0.24424848416275552,-0.4620936935351404,0.014270679896666517
full (1928+),Lev 1.5x above MA,55471.01341448856,0.11878943087257299,0.23634846337949142,0.4252111143623236,0.60077666539257,0.13857455542147795,-0.8572239724043997,0.4331469728032401
full (1928+),Lev 2x above MA,402862.98522996204,0.14181731886104432,0.2894267714874267,0.4662107869520651,0.6581205841966659,0.15895497110605056,-0.8921854904835127,0.4892700300001217
full (1928+),Lev 3x above MA,6429402.62492286,0.17478493103911097,0.4043565946835506,0.504027762375784,0.7109307110301536,0.1827333591980217,-0.9565025882860431,0.5173292543456679
full (1928+),Lev 4x above MA,20129416.054842636,0.18864344782016418,0.5245345508070369,0.519852692344962,0.7330233898263501,0.1902515380068969,-0.9915475574937301,0.5266819688569104
last 50y,Buy & Hold 1x,256.6600717847546,0.11739389884308515,0.17412791609968523,0.48914042175691574,0.6852826033063948,0.2124767178753076,-0.5525024106969593,
last 50y,MA200 -> Cash,189.3675490056328,0.11061668121261592,0.11714359318862994,0.6036918987622393,0.8456554492633427,0.5382672528265466,-0.2055051289703137,-0.11217136183884105
last 50y,Lev 1.5x above MA,567.2933706458806,0.1352670118130559,0.21788165403624551,0.5033158629466209,0.7036527875607512,0.22937607427803003,-0.5897171805682611,0.4181550300378911
last 50y,Lev 2x above MA,1532.8429864735522,0.1580711570160953,0.26737093146132873,0.5297899006131347,0.7404262074628772,0.2517676850718036,-0.6278452970285435,0.48212890654878576
last 50y,Lev 3x above MA,6622.573996431193,0.1924793688887576,0.37430564965978685,0.549354721316657,0.7675943955636768,0.25393473475679396,-0.7579875556335559,0.5141134823738405
last 50y,Lev 4x above MA,14106.138964095539,0.21065697375816206,0.48597609342416365,0.554767492071512,0.775117931001921,0.24455699425844132,-0.8613819220216019,0.5247746355597703
last 30y,Buy & Hold 1x,19.12847103058855,0.10363290020844129,0.19130101791288465,0.4960131893352677,0.7006733324397787,0.18757004169033878,-0.552502410696959,
last 30y,MA200 -> Cash,14.04675008881887,0.09230475279597017,0.12100083099228116,0.6081111114337713,0.8404124038367905,0.44916033608730066,-0.2055051289703137,-0.14374836849535572
last 30y,Lev 1.5x above MA,31.51723981417565,0.1222014412085286,0.23429183983842544,0.515518880376311,0.7214952160736187,0.20722041893161983,-0.5897171805682604,0.4280062114523349
last 30y,Lev 2x above MA,58.039603965332276,0.1453312932969959,0.2837451257729252,0.5431403811501402,0.7563785499150011,0.23147627924397562,-0.6278452970285433,0.48945207449343103
last 30y,Lev 3x above MA,140.55348330353235,0.17968373312240482,0.3920644228056776,0.563114733574117,0.7803197223795219,0.23705367164269384,-0.7579875556335548,0.5201727094199349
last 30y,Lev 4x above MA,215.99423173026418,0.1967417818132675,0.5061676270499358,0.5678780879327373,0.7852519339121249,0.22840249694529052,-0.8613819220216024,0.5304125605165514
last 15y,Buy & Hold 1x,7.681568119199542,0.1460465923383476,0.17318073639572107,0.7860818151706519,1.1057359132220388,0.43221245450491996,-0.33790463651871727,
last 15y,MA200 -> Cash,4.682571334724126,0.10873923479896885,0.11750849238920023,0.8076985592609615,1.1060266093636646,0.6053206258426043,-0.17963907086034647,-0.32373172699776404
last 15y,Lev 1.5x above MA,11.548602069630466,0.17771994644555078,0.21735171988489105,0.7918036191886,1.100314690372686,0.4435634175856342,-0.4006641201677553,0.6121467047486776
last 15y,Lev 2x above MA,18.589710496842784,0.21580839311939148,0.2672002602708329,0.8089615285292687,1.1173318629752358,0.4709888583943119,-0.4582027563350908,0.6809581247333675
last 15y,Lev 3x above MA,41.07266524019057,0.2819885340569761,0.37472724996925777,0.8119642667110124,1.1151301631029187,0.5038972756180117,-0.5596151193933872,0.7153613445426796
last 15y,Lev 4x above MA,73.16800568273311,0.3324496947450297,0.48689478447900664,0.8058743891396913,1.1042072511310985,0.5156027854651785,-0.6447787019713103,0.7268286976084849
