horizon,name,grew_1dollar_to,cagr,volatility,sharpe,sortino,calmar,max_drawdown,info_ratio_vs_sp
full (1928+),Buy & Hold 1x,13020.989530849005,0.10138792307696165,0.1892142662267489,0.4345924739640663,0.6169958906538417,0.1209099805168695,-0.8385405625205264,
full (1928+),MA200 -> Cash,25921.63207008074,0.110077351868898,0.12628606584872298,0.6348952195866684,0.8989600766097967,0.23716307173242765,-0.4641420397568875,-0.0034766785948176105
full (1928+),3-tier 1.5x,21439.98908634014,0.10791423003565948,0.16933106350446508,0.4997110889163618,0.7063908434109084,0.17604442701096118,-0.6129942984729664,0.025137370125200332
full (1928+),3-tier 2x,117973.51127419666,0.1274982437186436,0.2212497708588216,0.5078485053376562,0.7169490681213497,0.17557666953636009,-0.7261684827222449,0.17355149576012455
full (1928+),3-tier 3x,1496422.392573044,0.15731794032291901,0.32694365159424166,0.5133973626161986,0.7240962173847109,0.18061818408770194,-0.8709972427058112,0.33403410394446914
full (1928+),3-tier 4x,5794031.685768607,0.17352950497244457,0.43360260959469116,0.5150873316399146,0.7262521265574909,0.18372280651392797,-0.9445180392413032,0.401820397754702
last 50y,Buy & Hold 1x,256.6600717847546,0.11739389884308515,0.17412791609968523,0.48914042175691574,0.6852826033063948,0.2124767178753076,-0.5525024106969593,
last 50y,MA200 -> Cash,189.3675490056328,0.11061668121261592,0.11714359318862994,0.6036918987622393,0.8456554492633427,0.5382672528265466,-0.2055051289703137,-0.11217136183884105
last 50y,3-tier 1.5x,47.76909072799273,0.0804290962641474,0.15817048142121354,0.3087665706251034,0.4273283059430466,0.16772877429268834,-0.47951877430283874,-0.2526402912991244
last 50y,3-tier 2x,72.39235315735658,0.08945330122160966,0.20721461179965206,0.3193998129078782,0.44221932191398106,0.1524682560952319,-0.5867011502101591,-0.11274752794030908
last 50y,3-tier 3x,112.33029237319393,0.0990721875894982,0.3068197693581501,0.3287873307508914,0.45538328548520113,0.13291740486026427,-0.745366550706076,0.06457549444298301
last 50y,3-tier 4x,102.69760458979141,0.09710243098620963,0.4072094007120597,0.3329323418233517,0.4612015349731407,0.11436148613190748,-0.8490833257816288,0.1517185479589471
last 30y,Buy & Hold 1x,19.12847103058855,0.10363290020844129,0.19130101791288465,0.4960131893352677,0.7006733324397787,0.18757004169033878,-0.552502410696959,
last 30y,MA200 -> Cash,14.04675008881887,0.09230475279597017,0.12100083099228116,0.6081111114337713,0.8404124038367905,0.44916033608730066,-0.2055051289703137,-0.14374836849535572
last 30y,3-tier 1.5x,5.666878544802385,0.05967184476477372,0.1612521586615339,0.3036864053555573,0.4131265650624599,0.1244411021268757,-0.47951877430283796,-0.2830376459614479
last 30y,3-tier 2x,7.160999123521392,0.06798988057048083,0.21049269948245075,0.31373421021177594,0.42637812612713055,0.11588503030226964,-0.5867011502101599,-0.1560521346230209
last 30y,3-tier 3x,8.980530301664054,0.07609985334983982,0.3108179546388077,0.3222990803416148,0.43771609417933033,0.10209722086099975,-0.7453665507060762,0.020654706234884378
last 30y,3-tier 4x,8.121363413014855,0.07249019365925702,0.4121037210102232,0.325922908573135,0.44254050708454096,0.08537465223748884,-0.849083325781629,0.11482448558874678
last 15y,Buy & Hold 1x,7.681568119199542,0.1460465923383476,0.17318073639572107,0.7860818151706519,1.1057359132220388,0.43221245450491996,-0.33790463651871727,
last 15y,MA200 -> Cash,4.682571334724126,0.10873923479896885,0.11750849238920023,0.8076985592609615,1.1060266093636646,0.6053206258426043,-0.17963907086034647,-0.32373172699776404
last 15y,3-tier 1.5x,2.730495428201287,0.06946762709810672,0.15521597843643561,0.41246732637553873,0.5576792617815913,0.24505392259149572,-0.2834789435870777,-0.4989560641901018
last 15y,3-tier 2x,3.242165140455825,0.08182015538940335,0.20372636112546885,0.41382811307308587,0.5585534749758825,0.23368228409026934,-0.3501341820066983,-0.30770825819511705
last 15y,3-tier 3x,4.0751580005201395,0.0984872296119681,0.3020822268829494,0.41339772414147485,0.5572891201888844,0.20864866970352816,-0.4720242393680726,-0.046632667519083015
last 15y,3-tier 4x,4.3854463506283485,0.10389009525622228,0.4011260252589301,0.4124702844155451,0.5558147216009859,0.17514249863390724,-0.5931746781423921,0.0891939949075287
