Date,Adj Close,Close,High,Low,Open,Volume
2010-09-09,76.53534698486328,101.31999969482422,102.5,101.13999938964844,102.5,26500
2010-09-10,76.88285827636719,101.77999877929688,101.86000061035156,101.30000305175781,101.68000030517578,8600
2010-09-13,77.84969329833984,103.05999755859375,103.13999938964844,102.5,102.95999908447266,33750
2010-09-14,77.83464813232422,103.04000091552734,103.4800033569336,102.37999725341797,102.83999633789062,59400
2010-09-15,78.031005859375,103.30000305175781,103.37999725341797,102.4000015258789,102.62000274658203,9250
2010-09-16,78.00080108642578,103.26000213623047,103.31999969482422,102.69999694824219,103.0199966430664,59550
2010-09-17,78.07634735107422,103.36000061035156,103.87999725341797,103.0199966430664,103.87999725341797,49350
2010-09-20,79.3453598022461,105.04000091552734,105.04000091552734,103.45999908447266,103.73999786376953,19000
2010-09-21,79.10366821289062,104.72000122070312,105.44000244140625,104.27999877929688,105.0199966430664,19250
2010-09-22,78.6806640625,104.16000366210938,105.04000091552734,103.95999908447266,104.55999755859375,18100
2010-09-23,78.031005859375,103.30000305175781,104.33999633789062,103.12000274658203,103.31999969482422,33350
2010-09-24,79.62439727783203,104.83999633789062,104.9000015258789,103.86000061035156,103.94000244140625,24100
2010-09-27,79.24464416503906,104.33999633789062,104.9800033569336,104.33999633789062,104.9800033569336,15000
2010-09-28,79.76112365722656,105.0199966430664,105.0199966430664,103.41999816894531,104.31999969482422,49850
2010-09-29,79.3813705444336,104.5199966430664,104.91999816894531,104.22000122070312,104.58000183105469,15900
2010-09-30,79.25984954833984,104.36000061035156,105.68000030517578,103.95999908447266,105.19999694824219,44750
2010-10-01,79.53329467773438,104.72000122070312,105.16000366210938,104.16000366210938,105.08000183105469,17100
2010-10-04,78.86490631103516,103.83999633789062,105.26000213623047,103.5,105.26000213623047,88700
2010-10-05,80.5965576171875,106.12000274658203,106.19999694824219,104.81999969482422,105.0199966430664,19850
2010-10-06,80.4598388671875,105.94000244140625,106.27999877929688,105.62000274658203,106.12000274658203,276900
2010-10-07,80.41427612304688,105.87999725341797,106.5,105.31999969482422,106.5,49900
2010-10-08,81.0218734741211,106.68000030517578,106.73999786376953,105.66000366210938,106.0199966430664,61550
2010-10-11,80.88516998291016,106.5,106.83999633789062,106.27999877929688,106.72000122070312,14200
2010-10-12,81.35602569580078,107.12000274658203,107.23999786376953,105.73999786376953,106.37999725341797,42050
2010-10-13,81.84210205078125,107.76000213623047,108.27999877929688,107.23999786376953,107.58000183105469,74450
2010-10-14,81.53829193115234,107.36000061035156,107.81999969482422,106.80000305175781,107.69999694824219,19100
2010-10-15,81.6902084350586,107.55999755859375,108.08000183105469,106.72000122070312,108.04000091552734,54950
2010-10-18,82.28262329101562,108.33999633789062,108.44000244140625,107.44000244140625,107.62000274658203,22850
2010-10-19,80.97631072998047,106.62000274658203,107.68000030517578,106.0199966430664,107.13999938964844,38550
2010-10-20,81.84210205078125,107.76000213623047,108.16000366210938,106.94000244140625,106.94000244140625,22800
2010-10-21,81.96363830566406,107.91999816894531,108.76000213623047,107.30000305175781,108.26000213623047,29400
2010-10-22,82.16109466552734,108.18000030517578,108.19999694824219,107.94000244140625,108.16000366210938,24850
2010-10-25,82.40412902832031,108.5,109.27999877929688,108.45999908447266,109.0199966430664,29600
2010-10-26,82.38897705078125,108.4800033569336,108.55999755859375,107.87999725341797,107.91999816894531,15000
2010-10-27,82.1307144165039,108.13999938964844,108.22000122070312,107.22000122070312,107.73999786376953,17150
2010-10-28,82.19147491455078,108.22000122070312,108.81999969482422,107.76000213623047,108.76000213623047,19250
2010-10-29,82.25223541259766,108.30000305175781,108.41999816894531,108.0,108.0999984741211,13400
2010-11-01,82.29779815673828,108.36000061035156,109.41999816894531,107.76000213623047,108.91999816894531,51550
2010-11-02,82.93578338623047,109.19999694824219,109.41999816894531,108.86000061035156,109.22000122070312,26100
2010-11-03,83.28514099121094,109.66000366210938,109.66000366210938,108.31999969482422,109.41999816894531,31850
2010-11-04,84.84967041015625,111.72000122070312,111.80000305175781,110.73999786376953,110.9000015258789,49000
2010-11-05,85.18385314941406,112.16000366210938,112.30000305175781,111.68000030517578,111.9000015258789,48300
2010-11-08,85.07750701904297,112.0199966430664,112.08000183105469,111.5,111.87999725341797,43400
2010-11-09,84.40918731689453,111.13999938964844,112.30000305175781,110.80000305175781,112.18000030517578,35700
2010-11-10,84.72814178466797,111.55999755859375,111.5999984741211,110.31999969482422,111.16000366210938,28200
2010-11-11,84.45474243164062,111.19999694824219,111.27999877929688,110.41999816894531,110.68000030517578,24000
2010-11-12,83.40663146972656,109.81999969482422,110.86000061035156,109.37999725341797,110.4000015258789,39450
2010-11-15,83.33068084716797,109.72000122070312,110.5199966430664,109.63999938964844,110.30000305175781,202750
2010-11-16,81.99401092529297,107.95999908447266,109.0199966430664,107.4800033569336,109.0199966430664,32850
2010-11-17,82.05476379394531,108.04000091552734,108.45999908447266,107.77999877929688,108.05999755859375,42450
2010-11-18,83.26995849609375,109.63999938964844,109.91999816894531,109.08000183105469,109.08000183105469,26100
2010-11-19,83.4674301147461,109.9000015258789,109.94000244140625,109.04000091552734,109.5,20250
2010-11-22,83.3914566040039,109.80000305175781,109.80000305175781,108.58000183105469,109.41999816894531,25350
2010-11-23,82.22187042236328,108.26000213623047,108.63999938964844,107.91999816894531,108.55999755859375,142400
2010-11-24,83.28514099121094,109.66000366210938,109.77999877929688,108.94000244140625,108.94000244140625,30100
2010-11-26,82.81427764892578,109.04000091552734,109.4000015258789,108.81999969482422,108.95999908447266,32650
2010-11-29,82.73828887939453,108.94000244140625,109.16000366210938,107.66000366210938,108.36000061035156,46000
2010-11-30,82.16109466552734,108.18000030517578,108.86000061035156,107.81999969482422,107.95999908447266,91950
2010-12-01,84.01425170898438,110.62000274658203,110.73999786376953,109.87999725341797,109.91999816894531,33350
2010-12-02,85.10791015625,112.05999755859375,112.0999984741211,110.73999786376953,110.73999786376953,60650
2010-12-03,85.32056427001953,112.33999633789062,112.45999908447266,111.63999938964844,111.66000366210938,184100
2010-12-06,85.21424865722656,112.19999694824219,112.41999816894531,112.0,112.16000366210938,64150
2010-12-07,85.24459075927734,112.23999786376953,113.37999725341797,112.19999694824219,113.33999633789062,109000
2010-12-08,85.5939712524414,112.69999694824219,112.73999786376953,111.95999908447266,112.4000015258789,69050
2010-12-09,85.9129638671875,113.12000274658203,113.33999633789062,112.66000366210938,113.33999633789062,54850
2010-12-10,86.42937469482422,113.80000305175781,113.87999725341797,113.22000122070312,113.4800033569336,73950
2010-12-13,86.47496032714844,113.86000061035156,114.44000244140625,113.81999969482422,114.31999969482422,77050
2010-12-14,86.52054595947266,113.91999816894531,114.36000061035156,113.66000366210938,114.12000274658203,59650
2010-12-15,86.14078521728516,113.41999816894531,114.19999694824219,113.23999786376953,113.73999786376953,43600
2010-12-16,86.6420669555664,114.08000183105469,114.16000366210938,113.12000274658203,113.55999755859375,60600
2010-12-17,86.76356506347656,114.23999786376953,114.33999633789062,113.81999969482422,114.0,59150
2010-12-20,86.9458236694336,114.4800033569336,114.73999786376953,113.95999908447266,114.58000183105469,72600
2010-12-21,87.47744750976562,115.18000030517578,115.30000305175781,114.77999877929688,114.86000061035156,76200
2010-12-22,87.79645538330078,115.5999984741211,115.5999984741211,115.23999786376953,115.33999633789062,108250
2010-12-23,87.6597671508789,115.41999816894531,115.5199966430664,115.16000366210938,115.44000244140625,57400
2010-12-27,87.72537231445312,114.9800033569336,115.0199966430664,114.4000015258789,114.45999908447266,71800
2010-12-28,87.81695556640625,115.0999984741211,115.22000122070312,114.80000305175781,115.22000122070312,56650
2010-12-29,87.89323425292969,115.19999694824219,115.44000244140625,115.19999694824219,115.31999969482422,53600
2010-12-30,87.75589752197266,115.0199966430664,115.26000213623047,114.87999725341797,115.12000274658203,78900
2010-12-31,87.84745025634766,115.13999938964844,115.13999938964844,114.68000030517578,114.86000061035156,145750
2011-01-03,88.67145538330078,116.22000122070312,116.66000366210938,115.9000015258789,115.94000244140625,119200
2011-01-04,88.59516143798828,116.12000274658203,116.55999755859375,115.5,116.55999755859375,108350
2011-01-05,89.06817626953125,116.73999786376953,116.80000305175781,115.72000122070312,115.86000061035156,717750
2011-01-06,88.91559600830078,116.54000091552734,116.91999816894531,116.22000122070312,116.83999633789062,72450
2011-01-07,88.73248291015625,116.30000305175781,116.86000061035156,115.4800033569336,116.69999694824219,82250
2011-01-10,88.65619659423828,116.19999694824219,116.27999877929688,115.4800033569336,115.87999725341797,124500
2011-01-11,88.94612884521484,116.58000183105469,116.83999633789062,116.12000274658203,116.66000366210938,131700
2011-01-12,89.7396011352539,117.62000274658203,117.72000122070312,117.0999984741211,117.31999969482422,107350
2011-01-13,89.6175308227539,117.45999908447266,117.73999786376953,117.16000366210938,117.68000030517578,96050
2011-01-14,90.25841522216797,118.30000305175781,118.33999633789062,117.26000213623047,117.30000305175781,193400
2011-01-18,90.41099548339844,118.5,118.58000183105469,118.04000091552734,118.26000213623047,194900
2011-01-19,89.51072692871094,117.31999969482422,118.5,117.0199966430664,118.44000244140625,111950
2011-01-20,89.40389251708984,117.18000030517578,117.37999725341797,116.31999969482422,117.08000183105469,103450
2011-01-21,89.60226440429688,117.44000244140625,118.13999938964844,117.31999969482422,117.9000015258789,117950
2011-01-24,90.15158081054688,118.16000366210938,118.19999694824219,117.37999725341797,117.4000015258789,455900
2011-01-25,90.12110137939453,118.12000274658203,118.19999694824219,117.19999694824219,117.80000305175781,226550
2011-01-26,90.59412384033203,118.73999786376953,118.94000244140625,118.23999786376953,118.44000244140625,109250
